Date : 2025-10-30 09:36:59
Directory : d:\FDU_files\Tao_group\kiwi\MyKiwi
Total : 442 files,  49118 codes, 1165 comments, 6753 blanks, all 57036 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| source\widget\view2d\item                                                                                   |          8 |        228 |         46 |         80 |        354 |
| source\widget\view3d                                                                                        |         10 |      1,611 |        165 |        426 |      2,202 |
| source\widget\view3d (Files)                                                                                |          4 |      1,032 |        131 |        269 |      1,432 |
| source\widget\view3d\dialog                                                                                 |          6 |        579 |         34 |        157 |        770 |
| test                                                                                                        |        114 |     23,575 |         43 |        238 |     23,856 |
| test\config                                                                                                 |        100 |     22,770 |          0 |          8 |     22,778 |
| test\config\case1                                                                                           |          8 |      1,249 |          0 |          2 |      1,251 |
| test\config\case10                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case11                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case12                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case13                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case14                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case15                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case16                                                                                          |          2 |        159 |          0 |          0 |        159 |
| test\config\case17                                                                                          |          8 |      2,621 |          0 |          3 |      2,624 |
| test\config\case18                                                                                          |          8 |      1,621 |          0 |          0 |      1,621 |
| test\config\case19                                                                                          |          8 |      1,607 |          0 |          1 |      1,608 |
| test\config\case2                                                                                           |          8 |      1,331 |          0 |          0 |      1,331 |
| test\config\case20                                                                                          |          8 |      5,317 |          0 |          0 |      5,317 |
| test\config\case3                                                                                           |          8 |      1,323 |          0 |          2 |      1,325 |
| test\config\case4                                                                                           |          8 |      3,535 |          0 |          0 |      3,535 |
| test\config\case5                                                                                           |          8 |      1,079 |          0 |          0 |      1,079 |
| test\config\case6                                                                                           |          8 |      1,497 |          0 |          0 |      1,497 |
| test\config\case7                                                                                           |          2 |        159 |          0 |          0 |        159 |
| test\config\case8                                                                                           |          2 |        159 |          0 |          0 |        159 |
| test\config\case9                                                                                           |          2 |        159 |          0 |          0 |        159 |
| test\module_test                                                                                            |         11 |        616 |         27 |        181 |        824 |
| test\regression_test                                                                                        |          3 |        189 |         16 |         49 |        254 |
| tools                                                                                                       |          4 |        145 |          0 |         40 |        185 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\FDU_files\Tao_group\kiwi\MyKiwi\README.md                                                                | Markdown |        122 |          0 |         60 |        182 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\TODO.md                                                                  | Markdown |         12 |          0 |         18 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\FPGA.py                                       | Python   |        343 |          3 |         82 |        428 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\bus_routing_FPGA.py                           | Python   |        123 |          2 |         30 |        155 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\test_bus.py                                   | Python   |         44 |          6 |         24 |         74 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\bus_routing_asic.py                           | Python   |        263 |         25 |         54 |        342 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\maze.py                                       | Python   |        126 |          0 |         44 |        170 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\routing_tree.py                               | Python   |         56 |          0 |         19 |         75 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\test_bus.py                                   | Python   |         46 |          2 |         24 |         72 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\comparison\case7\description.md                    | Markdown |          7 |          0 |          3 |         10 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\experiments.md                                     | Markdown |         97 |          0 |         38 |        135 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\routing_tree.py                                    | Python   |         54 |          0 |         18 |         72 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.03 test\note.md                    | Markdown |         80 |          0 |         48 |        128 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.08 test\note.md                    | Markdown |         12 |          0 |          6 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.09 test\note.md                    | Markdown |         28 |          0 |         18 |         46 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.1 test\note.md                     | Markdown |         82 |          0 |         50 |        132 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.11test\note.md                     | Markdown |        150 |          0 |         29 |        179 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.17 test\note.md                    | Markdown |         21 |          0 |         20 |         41 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.24 test\note.md                    | Markdown |         16 |          0 |         10 |         26 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.27 test\note.md                    | Markdown |         19 |          0 |         16 |         35 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\algothrim.md                               | Markdown |        123 |          0 |         71 |        194 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\exp.md                                     | Markdown |         42 |          0 |         26 |         68 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\description.md | Markdown |         57 |          0 |         18 |         75 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\minheap.py     | Python   |         77 |          0 |         13 |         90 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\test.py        | Python   |        134 |          9 |         31 |        174 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\pathfinder\pathfinder.py                                       | Python   |         96 |         12 |         39 |        147 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\routing.md                                                     | Markdown |         57 |          0 |         19 |         76 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\README.md                                                | Markdown |         11 |          0 |          9 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\trans_xlsx_to_json.py                                    | Python   |        164 |          0 |         46 |        210 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\trans_xlsx_to_json_incremental.py                        | Python   |         37 |          5 |         11 |         53 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\transform_xl.py                                          | Python   |        203 |          2 |         22 |        227 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\gui\README.md                                                   | Markdown |         62 |          0 |         42 |        104 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\document\gui\flow.md                                                     | Markdown |         33 |          0 |         29 |         62 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\axis.frag                                                | GLSL     |          7 |          0 |          3 |         10 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\axis.vert                                                | GLSL     |          8 |          0 |          3 |         11 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\cube.frag                                                | GLSL     |          8 |          0 |          4 |         12 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\cube.vert                                                | GLSL     |         14 |          0 |          5 |         19 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\frame.frag                                               | GLSL     |          6 |          0 |          2 |          8 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\frame.vert                                               | GLSL     |          9 |          0 |          3 |         12 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\track.frag                                               | GLSL     |          6 |          0 |          3 |          9 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\track.vert                                               | GLSL     |         11 |          0 |          4 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\netbuilder\netbuilder.cc                                     | C++      |        284 |         32 |         41 |        357 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\netbuilder\netbuilder.hh                                     | C++      |         42 |          1 |         15 |         58 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\place.cc                                              | C++      |         11 |          0 |          3 |         14 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\place.hh                                              | C++      |         18 |          0 |          7 |         25 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\placestrategy.hh                                      | C++      |         18 |          0 |          6 |         24 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\sa\saplacestrategy.cc                                 | C++      |        121 |          6 |         34 |        161 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\sa\saplacestrategy.hh                                 | C++      |         26 |          0 |          7 |         33 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.cc                                                | C++      |        102 |          0 |         27 |        129 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.hh                                                | C++      |         40 |          3 |         15 |         58 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command.hh                               | C++      |         25 |          0 |         11 |         36 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\allocate.cc                      | C++      |         11 |          0 |          9 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\allocate.hh                      | C++      |         12 |          0 |          6 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\clear.cc                         | C++      |         15 |          0 |          7 |         22 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\clear.hh                         | C++      |         12 |          0 |          6 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\commands.hh                      | C++      |          8 |          0 |          1 |          9 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.cc             | C++      |        160 |         10 |         34 |        204 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.hh             | C++      |         18 |          0 |          7 |         25 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\reroute.cc                       | C++      |         11 |          0 |          7 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\reroute.hh                       | C++      |         12 |          0 |          6 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\resources.cc                     | C++      |         13 |          0 |          7 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\resources.hh                     | C++      |         12 |          0 |          8 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\route.cc                         | C++      |         24 |          2 |         11 |         37 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\route.hh                         | C++      |         12 |          0 |          6 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\sort.cc                          | C++      |         32 |          2 |         11 |         45 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\sort.hh                          | C++      |         12 |          0 |          7 |         19 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\invoker.cc                               | C++      |         65 |          2 |         12 |         79 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\invoker.hh                               | C++      |         43 |          0 |         21 |         64 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\allocate\hopcroft_karp.cc                      | C++      |        288 |         13 |         52 |        353 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\allocate\hopcroft_karp.hh                      | C++      |         50 |          4 |         19 |         73 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\allocatestrategy.hh                            | C++      |         15 |          4 |         11 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazererouter.cc                           | C++      |        319 |         25 |         39 |        383 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazererouter.hh                           | C++      |        115 |          2 |         31 |        148 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazeroutestrategy.cc                      | C++      |        715 |         56 |        120 |        891 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazeroutestrategy.hh                      | C++      |         83 |          4 |         26 |        113 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\path_length.cc                            | C++      |        160 |          7 |         18 |        185 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\path_length.hh                            | C++      |         17 |          0 |         10 |         27 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\routestrategy.hh                               | C++      |         28 |          0 |         10 |         38 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\bits_group.hh                  | C++      |         44 |          0 |         15 |         59 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.cc                    | C++      |         79 |          1 |         17 |         97 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.hh                    | C++      |         34 |          0 |         19 |         53 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\global_bits.hh                 | C++      |         54 |          0 |         20 |         74 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\tob_bits.cc                    | C++      |        112 |          0 |         25 |        137 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\tob_bits.hh                    | C++      |         37 |          0 |         18 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\track_bits.cc                  | C++      |         58 |          2 |         18 |         78 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\track_bits.hh                  | C++      |         45 |          0 |         27 |         72 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\maze\routing.cc                           | C++      |        733 |         12 |        125 |        870 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\maze\routing.hh                           | C++      |        104 |          1 |         31 |        136 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.cc                  | C++      |        184 |          1 |         41 |        226 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.hh                  | C++      |         43 |          0 |         13 |         56 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.cc            | C++      |        373 |          8 |         64 |        445 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.hh            | C++      |         51 |          1 |         19 |         71 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\recorder.hh                     | C++      |        107 |          0 |         28 |        135 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.cc                  | C++      |        251 |          0 |         57 |        308 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.hh                  | C++      |         53 |          1 |         18 |         72 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.cc                                         | C++      |        312 |         18 |         53 |        383 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.hh                                         | C++      |         47 |          1 |         14 |         62 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.cc                                        | C++      |        136 |          5 |         27 |        168 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.hh                                        | C++      |         67 |          0 |         15 |         82 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeerror.hh                                         | C++      |         43 |          3 |         13 |         59 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\cli\cli.cc                                                    | C++      |         49 |          0 |         11 |         60 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\cli\cli.hh                                                    | C++      |          6 |          0 |          4 |         10 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\gui\gui.cc                                                    | C++      |         23 |          0 |          8 |         31 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\gui\gui.hh                                                    | C++      |          4 |          0 |          3 |          7 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\kiwi.cc                                                       | C++      |        132 |          5 |         27 |        164 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\main.cc                                                       | C++      |         11 |          0 |          2 |         13 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\basedie.cc                                                | C++      |        372 |          6 |         90 |        468 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\basedie.hh                                                | C++      |        106 |          3 |         31 |        140 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\connection.cc                                  | C++      |         10 |          0 |          5 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\connection.hh                                  | C++      |         40 |          0 |         11 |         51 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\pin.cc                                         | C++      |         40 |          0 |         14 |         54 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\pin.hh                                         | C++      |         99 |          0 |         15 |        114 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\export\export.cc                                          | C++      |         15 |          0 |          3 |         18 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\export\export.hh                                          | C++      |         20 |          0 |          9 |         29 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.cc                                                | C++      |         32 |          0 |         11 |         43 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.hh                                                | C++      |        113 |         12 |         22 |        147 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\nets.hh                                               | C++      |          9 |          0 |          6 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.cc                                        | C++      |        163 |          0 |         35 |        198 |
